date,total_quantity,total_revenue,Baby,Baking/ Spices/ Condiments,Beverages,Cleaning,Dairy,Food,Fruits,Hygiene,Meat,Miscellaneous,Pet,School Supplies,Snacks,Vegetables,day_of_week,month,is_weekend,is_open_day,lag_1,lag_3,lag_7,rolling_3,rolling_7
2025-12-19,247,571.44,3,26,26,11,4,64,6,32,5,7,2,3,48,10,4,12,0,1,0.0,0.0,863.45,357.81666666666666,171.12000000000003
2025-12-20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,571.44,502.01,0.0,190.48000000000002,171.12000000000003
2025-12-21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0.0,0.0,0.0,190.48000000000002,171.12000000000003
2025-12-22,68,91.39,0,3,6,1,0,28,0,2,0,5,5,4,5,9,0,12,0,1,0.0,571.44,124.39,30.463333333333335,166.40571428571428
2025-12-23,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,91.39,0.0,0.0,30.463333333333335,166.40571428571428
2025-12-24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0.0,0.0,502.01,30.463333333333335,94.69000000000001
2025-12-25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0.0,91.39,0.0,0.0,94.69000000000001
2025-12-26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0.0,0.0,571.44,0.0,13.055714285714286
2025-12-27,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,0.0,0.0,0.0,0.0,13.055714285714286
2025-12-28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0.0,0.0,0.0,0.0,13.055714285714286
2025-12-29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0,0.0,91.39,0.0,0.0
2025-12-30,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0.0,0.0,0.0,0.0,0.0
2025-12-31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0.0,0.0,0.0,0.0,0.0
2026-01-01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0
2026-01-02,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0
2026-01-03,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0.0,0.0,0.0,0.0,0.0
2026-01-04,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,0.0,0.0
2026-01-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
2026-01-06,36,79.52,0,1,5,0,0,12,1,4,2,0,0,0,9,2,1,1,0,1,0.0,0.0,0.0,26.506666666666664,11.36
2026-01-07,182,530.9,0,9,18,11,0,34,0,54,1,13,1,5,27,9,2,1,0,1,79.52,0.0,0.0,203.47333333333333,87.20285714285714
2026-01-08,54,81.22,0,3,7,0,0,23,0,3,0,4,1,3,5,5,3,1,0,1,530.9,0.0,0.0,230.54666666666665,98.80571428571429
2026-01-09,396,921.65,0,25,45,16,12,95,15,81,1,9,0,18,54,25,4,1,0,1,81.22,79.52,0.0,511.25666666666666,230.47
2026-01-10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,921.65,530.9,0.0,334.29,230.47
2026-01-11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0.0,81.22,0.0,307.21666666666664,230.47
2026-01-12,412,991.35,2,28,29,18,3,134,4,69,9,9,11,14,60,22,0,1,0,1,0.0,921.65,0.0,330.45,372.09142857142854
2026-01-13,77,166.98,0,7,7,2,0,24,0,8,0,1,0,7,13,8,1,1,0,1,991.35,0.0,79.52,386.10999999999996,384.5857142857143
2026-01-14,182,403.03,0,9,12,8,0,59,3,24,0,4,7,10,25,21,2,1,0,1,166.98,0.0,530.9,520.4533333333334,366.31857142857143
2026-01-15,55,77.44,0,3,4,0,0,25,0,5,0,0,0,2,7,9,3,1,0,1,403.03,991.35,81.22,215.8166666666667,365.77857142857147
2026-01-16,463,1122.72,0,16,26,30,0,124,0,84,0,17,0,23,109,34,4,1,0,1,77.44,166.98,921.65,534.3966666666666,394.5028571428571
2026-01-17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1122.72,403.03,0.0,400.05333333333334,394.5028571428571
2026-01-18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0.0,77.44,0.0,374.24,394.5028571428571
2026-01-19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1122.72,991.35,0.0,252.8814285714286
2026-01-20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,166.98,0.0,229.02714285714288
2026-01-21,324,655.54,0,10,29,8,7,96,0,53,0,9,8,19,63,22,2,1,0,1,0.0,0.0,403.03,218.51333333333332,265.09999999999997
2026-01-22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,655.54,0.0,77.44,218.51333333333332,254.03714285714287
2026-01-23,591,1373.68,1,60,25,29,8,191,0,78,0,34,8,41,77,39,4,1,0,1,0.0,0.0,1122.72,676.4066666666666,289.8885714285714
2026-01-24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1373.68,655.54,0.0,457.8933333333334,289.8885714285714
2026-01-25,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,457.8933333333334,289.8885714285714
2026-01-26,72,114.75,0,5,6,2,0,26,0,5,0,5,5,4,5,9,0,1,0,1,0.0,1373.68,0.0,38.25,306.2814285714286
2026-01-27,28,38.46,0,4,2,1,0,12,0,0,0,0,0,1,4,4,1,1,0,1,114.75,0.0,0.0,51.07,311.7757142857143
2026-01-28,446,935.08,2,38,69,14,18,82,4,41,17,46,5,14,72,24,2,1,0,1,38.46,0.0,655.54,362.7633333333333,351.71000000000004
2026-01-29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,935.08,114.75,0.0,324.5133333333334,351.71000000000004
2026-01-30,577,1282.9,3,51,47,22,41,99,3,89,3,60,5,21,90,43,4,1,0,1,0.0,38.46,1373.68,739.3266666666667,338.7414285714286
2026-01-31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1282.9,935.08,0.0,427.6333333333334,338.7414285714286
2026-02-01,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,427.6333333333334,338.7414285714286
2026-02-02,271,501.68,2,22,23,14,20,50,0,30,0,15,3,11,67,14,0,2,0,1,0.0,1282.9,114.75,167.22666666666666,394.0171428571429
2026-02-03,33,51.67,0,1,3,0,0,10,0,1,0,0,0,0,9,9,1,2,0,1,501.68,0.0,38.46,184.45000000000002,395.9042857142858
2026-02-04,546,1522.11,18,51,29,34,19,113,7,100,25,10,10,9,82,39,2,2,0,1,51.67,0.0,935.08,691.82,479.7657142857143
2026-02-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1522.11,501.68,0.0,524.5933333333332,479.7657142857143
2026-02-06,746,2095.87,7,57,85,46,32,112,4,128,37,64,0,7,139,28,4,2,0,1,0.0,51.67,1282.9,1205.993333333333,595.9042857142857
2026-02-07,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2095.87,1522.11,0.0,698.6233333333333,595.9042857142857
2026-02-08,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,698.6233333333333,595.9042857142857
2026-02-09,368,815.27,10,18,36,17,0,86,2,49,6,24,5,13,72,30,0,2,0,1,0.0,2095.87,501.68,271.75666666666666,640.7028571428572
2026-02-10,7,15.370000000000001,0,0,0,0,0,1,1,0,1,0,0,0,1,3,1,2,0,1,815.27,0.0,51.67,276.88,635.5171428571429
2026-02-11,289,657.02,0,27,44,10,8,40,10,30,28,15,2,7,25,43,2,2,0,1,15.370000000000001,0.0,1522.11,495.8866666666666,511.9328571428572
2026-02-12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,657.02,815.27,0.0,224.13,511.93285714285713
2026-02-13,371,924.55,0,30,21,18,16,42,6,70,41,16,0,19,71,21,4,2,0,1,0.0,15.370000000000001,2095.87,527.1899999999999,344.6014285714286
2026-02-14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,924.55,657.02,0.0,308.18333333333334,344.6014285714286
2026-02-15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,308.18333333333334,344.6014285714286
2026-02-16,255,549.08,4,16,15,21,7,82,1,26,8,8,3,6,34,24,0,2,0,1,0.0,924.55,815.27,183.02666666666667,306.57428571428574
2026-02-17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,549.08,0.0,15.370000000000001,183.02666666666667,304.37857142857143
2026-02-18,260,601.69,0,15,7,9,6,65,5,25,28,10,3,19,36,32,2,2,0,1,0.0,0.0,657.02,383.59,296.4742857142857
2026-02-19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,601.69,549.08,0.0,200.56333333333336,296.4742857142857
2026-02-20,360,904.18,2,16,5,12,6,75,14,56,33,11,0,80,25,25,4,2,0,1,0.0,0.0,924.55,501.95666666666665,293.5642857142857
2026-02-21,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,904.18,601.69,0.0,301.3933333333333,293.5642857142857
2026-02-22,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,301.3933333333333,293.5642857142857
2026-02-23,343,626.17,0,26,13,17,9,94,9,42,18,8,2,31,53,21,0,2,0,1,0.0,904.18,549.08,208.72333333333333,304.57714285714286
2026-02-24,40,82.02,0,6,4,0,1,5,1,5,5,3,0,1,0,9,1,2,0,1,626.17,0.0,0.0,236.0633333333333,316.2942857142857
